,0,1,2,3,4,5,6,7,8,9
0,-0.90736323595047,-0.90736323595047,-0.90736323595047,-0.90736323595047,-0.90736323595047,-0.90736323595047,-0.90736323595047,-0.90736323595047,-0.90736323595047,-0.90736323595047
1,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207,-0.8708693385124207
2,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633,-0.8288047909736633
3,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898,-0.8057662844657898
4,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589,-0.7814387083053589
5,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454,-0.7290741205215454
6,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723,-0.7011208534240723
7,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009,-0.6418958902359009
8,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955,-0.6107189655303955
9,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319,-0.5785650014877319
10,-0.511533260345459,-0.511533260345459,-0.511533260345459,-0.511533260345459,-0.511533260345459,-0.511533260345459,-0.511533260345459,-0.511533260345459,-0.511533260345459,-0.511533260345459
11,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815,-0.47676268219947815
12,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945,-0.4049902856349945
13,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291,-0.3681032657623291
14,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737,-0.29262247681617737
15,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837,-0.25414949655532837
